joint_id,member_id,member_group,lane,piece_a,piece_b,joint_type,overlap_length_mm,glue_area_mm2,force_transfer_N,glue_shear_MPa,glue_allow_design_MPa,FS_glue_shear,FS_glue_shear_label,risk_flag
J-M139-L01-P01-02,139,diagonal,1,M139-L01-P01,M139-L01-P02,lap_overlap,30.0,210.0,67.20272836239094,0.32001299220186163,1.75,5.468527974314599,5.469,OK
J-M139-L02-P01-02,139,diagonal,2,M139-L02-P01,M139-L02-P02,lap_overlap,30.0,210.0,67.20272836239094,0.32001299220186163,1.75,5.468527974314599,5.469,OK
J-M139-L03-P01-02,139,diagonal,3,M139-L03-P01,M139-L03-P02,lap_overlap,30.0,210.0,67.20272836239094,0.32001299220186163,1.75,5.468527974314599,5.469,OK
J-M140-L01-P01-02,140,chord_lacing,1,M140-L01-P01,M140-L01-P02,lap_overlap,30.0,210.0,67.20272836239094,0.32001299220186163,1.75,5.468527974314599,5.469,OK
J-M047-L01-P01-02,47,chord_lacing,1,M047-L01-P01,M047-L01-P02,lap_overlap,30.0,210.0,67.20181251780545,0.3200086310371688,1.75,5.468602500901729,5.469,OK
J-M046-L01-P01-02,46,diagonal,1,M046-L01-P01,M046-L01-P02,lap_overlap,30.0,210.0,67.20181251780544,0.32000863103716876,1.75,5.46860250090173,5.469,OK
J-M046-L02-P01-02,46,diagonal,2,M046-L02-P01,M046-L02-P02,lap_overlap,30.0,210.0,67.20181251780544,0.32000863103716876,1.75,5.46860250090173,5.469,OK
J-M046-L03-P01-02,46,diagonal,3,M046-L03-P01,M046-L03-P02,lap_overlap,30.0,210.0,67.20181251780544,0.32000863103716876,1.75,5.46860250090173,5.469,OK
J-M117-L01-P01-02,117,diagonal,1,M117-L01-P01,M117-L01-P02,lap_overlap,30.0,210.0,57.17152917321757,0.27224537701532175,1.75,6.428024670925859,6.428,OK
J-M117-L02-P01-02,117,diagonal,2,M117-L02-P01,M117-L02-P02,lap_overlap,30.0,210.0,57.17152917321757,0.27224537701532175,1.75,6.428024670925859,6.428,OK
J-M117-L03-P01-02,117,diagonal,3,M117-L03-P01,M117-L03-P02,lap_overlap,30.0,210.0,57.17152917321757,0.27224537701532175,1.75,6.428024670925859,6.428,OK
J-M118-L01-P01-02,118,chord_lacing,1,M118-L01-P01,M118-L01-P02,lap_overlap,30.0,210.0,57.17152917321757,0.27224537701532175,1.75,6.428024670925859,6.428,OK
J-M069-L01-P01-02,69,chord_lacing,1,M069-L01-P01,M069-L01-P02,lap_overlap,30.0,210.0,57.170613328631745,0.2722410158506274,1.75,6.428127644660958,6.428,OK
J-M068-L01-P01-02,68,diagonal,1,M068-L01-P01,M068-L01-P02,lap_overlap,30.0,210.0,57.17061332863174,0.2722410158506273,1.75,6.42812764466096,6.428,OK
J-M068-L02-P01-02,68,diagonal,2,M068-L02-P01,M068-L02-P02,lap_overlap,30.0,210.0,57.17061332863174,0.2722410158506273,1.75,6.42812764466096,6.428,OK
J-M068-L03-P01-02,68,diagonal,3,M068-L03-P01,M068-L03-P02,lap_overlap,30.0,210.0,57.17061332863174,0.2722410158506273,1.75,6.42812764466096,6.428,OK
J-M108-L01-P01-02,108,vertical,1,M108-L01-P01,M108-L01-P02,lap_overlap,30.0,210.0,40.387014418816996,0.19231911628008094,1.75,9.099459449737772,9.099,OK
J-M108-L01-P02-03,108,vertical,1,M108-L01-P02,M108-L01-P03,lap_overlap,30.0,210.0,40.387014418816996,0.19231911628008094,1.75,9.099459449737772,9.099,OK
J-M108-L02-P01-02,108,vertical,2,M108-L02-P01,M108-L02-P02,lap_overlap,30.0,210.0,40.387014418816996,0.19231911628008094,1.75,9.099459449737772,9.099,OK
J-M108-L02-P02-03,108,vertical,2,M108-L02-P02,M108-L02-P03,lap_overlap,30.0,210.0,40.387014418816996,0.19231911628008094,1.75,9.099459449737772,9.099,OK
J-M108-L03-P01-02,108,vertical,3,M108-L03-P01,M108-L03-P02,lap_overlap,30.0,210.0,40.387014418816996,0.19231911628008094,1.75,9.099459449737772,9.099,OK
J-M108-L03-P02-03,108,vertical,3,M108-L03-P02,M108-L03-P03,lap_overlap,30.0,210.0,40.387014418816996,0.19231911628008094,1.75,9.099459449737772,9.099,OK
J-M035-L01-P01-02,35,vertical,1,M035-L01-P01,M035-L01-P02,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L01-P02-03,35,vertical,1,M035-L01-P02,M035-L01-P03,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L02-P01-02,35,vertical,2,M035-L02-P01,M035-L02-P02,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L02-P02-03,35,vertical,2,M035-L02-P02,M035-L02-P03,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L03-P01-02,35,vertical,3,M035-L03-P01,M035-L03-P02,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L03-P02-03,35,vertical,3,M035-L03-P02,M035-L03-P03,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M137-L01-P01-02,137,diagonal,1,M137-L01-P01,M137-L01-P02,lap_overlap,30.0,210.0,39.59405279478944,0.18854310854661638,1.75,9.28169697365163,9.282,OK
J-M137-L02-P01-02,137,diagonal,2,M137-L02-P01,M137-L02-P02,lap_overlap,30.0,210.0,39.59405279478944,0.18854310854661638,1.75,9.28169697365163,9.282,OK
