id,i,j,group,n_sticks,A,Asy,Asz,Iy,Iz,J,E,G,Ky,Kz,L
210,18,19,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,250.0222212346557
211,21,24,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
212,22,23,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
213,25,28,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
214,26,27,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
215,29,32,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
216,30,31,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
217,33,36,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
218,34,35,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
219,37,40,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
220,38,39,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,278.0287754891569
221,41,44,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,250.02222123465566
222,42,43,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,250.02222123465566
223,45,48,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,224.52418825398547
224,46,47,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,224.52418825398547
225,49,52,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,202.48456731316588
226,50,51,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,202.48456731316588
227,53,56,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,185.14258769331752
228,54,55,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,185.14258769331752
229,57,60,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,185.14258769331752
230,58,59,cross_frame_bracing,1,10.5,10.5,10.5,1.96875,42.875,15.695312499999998,6000.0,500.0,1.0,1.0,185.14258769331752
231,1,5,support_pad,4,42.0,42.0,42.0,7.875,2744.0,963.1562499999999,6000.0,500.0,0.7,0.7,100.0
232,53,57,support_pad,4,42.0,42.0,42.0,7.875,2744.0,963.1562499999999,6000.0,500.0,0.7,0.7,100.0
233,3,7,support_pad,4,42.0,42.0,42.0,7.875,2744.0,963.1562499999999,6000.0,500.0,0.7,0.7,100.0
234,55,59,support_pad,4,42.0,42.0,42.0,7.875,2744.0,963.1562499999999,6000.0,500.0,0.7,0.7,100.0
