member_id,i,j,group,n_sticks,L_mm,A_mm2,Iy_mm4,Iz_mm4,Ky,Kz,N_N,sigma_axial_MPa,state,tension_capacity_N,compression_capacity_N,Pcr_y_N,Pcr_z_N,Pcr_min_N,FS_tension,FS_compression_direct,FS_buckling_y,FS_buckling_z,FS_min,FS_min_label,governing_mode,report_mode,member_role,risk_flag
218,34,35,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.8596632805468,-2.0818726933854097,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,1.7944741186799642,0.06899515665510557,1.5025611893778548,0.06899515665510557,0.069,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
213,25,28,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.85960489021475,-2.081867132401405,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,1.7944789119934834,0.06899534095167119,1.502565202947506,0.06899534095167119,0.069,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
214,26,27,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.33263746416224,-2.031679758491642,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,1.8388068547969616,0.07069969172836242,1.5396821754176708,0.07069969172836242,0.071,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
217,33,36,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-21.33257907383066,-2.031674197507682,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,1.838811887875315,0.07069988524356882,1.5396863897488324,0.07069988524356882,0.071,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
216,30,31,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-14.397446111787904,-1.3711853439798003,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,2.724552652979422,0.10475544626170459,2.281340829699345,0.10475544626170459,0.105,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
215,29,32,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-14.397382124463405,-1.3711792499488957,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,2.7245647619054205,0.10475591183389507,2.2813509688270486,0.10475591183389507,0.105,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
220,38,39,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-12.295619047078524,-1.1710113378170024,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,3.1902907734702755,0.12266246105173052,2.6713158184599095,0.12266246105173052,0.123,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
211,21,24,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-12.295549298078614,-1.171004695055106,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,3.1903088710424523,0.12266315687944651,2.67133097204128,0.12266315687944651,0.123,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
212,22,23,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-11.700140898797263,-1.114299133218787,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,3.3526604798436543,0.12890536152639193,2.807272317685869,0.12890536152639193,0.129,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
219,37,40,cross_frame_bracing,1,278.0287754891569,10.5,1.96875,42.875,1.0,1.0,-11.70007114979801,-1.1142924904569533,compression,706.0788,39.2266,1.5082108924691855,32.84548165821782,1.5082108924691855,,3.352680466449745,0.12890612998496365,2.8072890530058756,0.12890612998496365,0.129,buckling_y,travamento: compressão deve ser interpretada com cautela,stabilizer,STABILIZER_COMPRESSION
